Indicator
#1-3-1
#1-4-1
#1-5-1
#11-5-1
#13-1-1
#15-1-1
#2-4-1
#5-2-1
#5-2-2
#5-a-E1
#6-4-E1
#7-3-E1
#7-b-1
#8-1-1
#8-5-2
#8-5-E1
#9-2-1
